(COMMENT,"# complete program with all token types",2)
(SCHEMES,"Schemes",5)
(COLON,":",5)
(ID,"snap",6)
(LEFT_PAREN,"(",6)
(ID,"S",6)
(COMMA,",",6)
(ID,"N",6)
(COMMA,",",6)
(ID,"A",6)
(COMMA,",",6)
(ID,"P",6)
(RIGHT_PAREN,")",6)
(ID,"csg",7)
(LEFT_PAREN,"(",7)
(ID,"C",7)
(COMMA,",",7)
(ID,"S",7)
(COMMA,",",7)
(ID,"G",7)
(RIGHT_PAREN,")",7)
(ID,"cp",8)
(LEFT_PAREN,"(",8)
(ID,"C",8)
(COMMA,",",8)
(ID,"Q",8)
(RIGHT_PAREN,")",8)
(ID,"cdh",9)
(LEFT_PAREN,"(",9)
(ID,"C",9)
(COMMA,",",9)
(ID,"D",9)
(COMMA,",",9)
(ID,"H",9)
(RIGHT_PAREN,")",9)
(ID,"cr",10)
(LEFT_PAREN,"(",10)
(ID,"C",10)
(COMMA,",",10)
(ID,"R",10)
(RIGHT_PAREN,")",10)
(ID,"before",11)
(LEFT_PAREN,"(",11)
(ID,"C1",11)
(COMMA,",",11)
(ID,"C2",11)
(RIGHT_PAREN,")",11)
(ID,"mwfCourses",12)
(LEFT_PAREN,"(",12)
(ID,"C",12)
(COMMA,",",12)
(ID,"R",12)
(RIGHT_PAREN,")",12)
(ID,"Schedule",13)
(LEFT_PAREN,"(",13)
(ID,"N",13)
(COMMA,",",13)
(ID,"C",13)
(COMMA,",",13)
(ID,"R",13)
(COMMA,",",13)
(ID,"D",13)
(COMMA,",",13)
(ID,"H",13)
(RIGHT_PAREN,")",13)
(ID,"Grades",14)
(LEFT_PAREN,"(",14)
(ID,"N",14)
(COMMA,",",14)
(ID,"C",14)
(COMMA,",",14)
(ID,"G",14)
(RIGHT_PAREN,")",14)
(ID,"Roll",15)
(LEFT_PAREN,"(",15)
(ID,"C",15)
(COMMA,",",15)
(ID,"R",15)
(COMMA,",",15)
(ID,"N",15)
(COMMA,",",15)
(ID,"S",15)
(COMMA,",",15)
(ID,"G",15)
(RIGHT_PAREN,")",15)
(FACTS,"Facts",17)
(COLON,":",17)
(ID,"snap",18)
(LEFT_PAREN,"(",18)
(STRING,"'1234'",18)
(COMMA,",",18)
(STRING,"'Charley'",18)
(COMMA,",",18)
(STRING,"'Apple St'",18)
(COMMA,",",18)
(STRING,"'555-1234'",18)
(RIGHT_PAREN,")",18)
(PERIOD,".",18)
(ID,"snap",19)
(LEFT_PAREN,"(",19)
(STRING,"'1111'",19)
(COMMA,",",19)
(STRING,"'Linus'",19)
(COMMA,",",19)
(STRING,"'Piano St'",19)
(COMMA,",",19)
(STRING,"'555-1111'",19)
(RIGHT_PAREN,")",19)
(PERIOD,".",19)
(ID,"snap",20)
(LEFT_PAREN,"(",20)
(STRING,"'1212'",20)
(COMMA,",",20)
(STRING,"'Lucy'",20)
(COMMA,",",20)
(STRING,"'Home Ln'",20)
(COMMA,",",20)
(STRING,"'555-1212'",20)
(RIGHT_PAREN,")",20)
(PERIOD,".",20)
(ID,"snap",21)
(LEFT_PAREN,"(",21)
(STRING,"'3333'",21)
(COMMA,",",21)
(STRING,"'Marcie'",21)
(COMMA,",",21)
(STRING,"'Banana St'",21)
(COMMA,",",21)
(STRING,"'555-3333'",21)
(RIGHT_PAREN,")",21)
(PERIOD,".",21)
(ID,"snap",22)
(LEFT_PAREN,"(",22)
(STRING,"'5678'",22)
(COMMA,",",22)
(STRING,"'Patty'",22)
(COMMA,",",22)
(STRING,"'Grape Blvd'",22)
(COMMA,",",22)
(STRING,"'555-5678'",22)
(RIGHT_PAREN,")",22)
(PERIOD,".",22)
(ID,"snap",23)
(LEFT_PAREN,"(",23)
(STRING,"'7890'",23)
(COMMA,",",23)
(STRING,"'Pig Pen'",23)
(COMMA,",",23)
(STRING,"'Pear Ave'",23)
(COMMA,",",23)
(STRING,"'555-7890'",23)
